National Center for Education Statistics,,,,,,,,,,,,
"Average costs (in constant 2016–17 dollars) associated with attendance for full-time, first-time degree/certificate-seeking undergraduates at Title IV institutions operating on an academic year calendar system, and percentage change, by level of institution, type of cost, control of institution, residency, and student housing: United States, academic years 2014–15 and 2016–17",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Type of cost, control of institution, 
residency, and student housing",,4-year,,,,2-year,,,,Less-than-2-year,,
,,2014–15,2016–17,"Percent 
change",,2014–15,2016–17,"Percent 
change",,2014–15,2016–17,"Percent 
change"
,,,,,,,,,,,,
Tuition and required fees,,,,,,,,,,,,
Public,,,,,,,,,,,,
In-district1 ,,"7,797","8,148",4.5,,"3,310","3,479",5.1,,"6,176","6,367",3.1
In-state,,"7,819","8,173",4.5,,"3,877","4,087",5.4,,"6,188","6,392",3.3
Out-of-state,,"17,638","18,415",4.4,,"7,589","7,937",4.6,,"7,442","7,720",3.7
Private nonprofit,,"25,851","27,260",5.5,,"13,985","14,282",2.1,,"13,578","14,217",4.7
Private for-profit,,"15,788","16,011",1.4,,"14,516","14,694",1.2,,"15,719","16,053",2.1
,,,,,,,,,,,,
Books and supplies,,,,,,,,,,,,
Public,,"1,295","1,284",-0.8,,"1,411","1,422",0.8,,"1,156","1,000",-13.5
Private nonprofit,,"1,204","1,190",-1.1,,"1,369","1,370",0.1,,"1,223","1,286",5.2
Private for-profit,,"1,367","1,316",-3.7,,"1,501","1,627",8.4,,"1,370","1,189",-13.2
,,,,,,,,,,,,
Room and board,,,,,,,,,,,,
Public,,,,,,,,,,,,
On campus,,"9,380","9,814",4.6,,"6,293","6,568",4.4,,"4,112","5,748",39.8
Off campus (not with family),,"9,396","9,602",2.2,,"7,958","8,191",2.9,,"8,142","8,053",-1.1
Private nonprofit,,,,,,,,,,,,
On campus,,"9,682","10,140",4.7,,"8,324","8,814",5.9,,‡,‡,‡
Off campus (not with family),,"9,325","9,660",3.6,,"9,317","9,470",1.6,,"10,369","9,583",-7.6
Private for-profit,,,,,,,,,,,,
On campus,,"9,949","10,076",1.3,,"9,779","10,308",5.4,,‡,‡,‡
Off campus (not with family),,"8,344","8,322",-0.3,,"8,579","8,466",-1.3,,"9,131","9,016",-1.3
,,,,,,,,,,,,
Other expenses,,,,,,,,,,,,
Public,,,,,,,,,,,,
On campus,,"3,325","3,332",0.2,,"3,229","3,270",1.3,,"1,215","1,200",-1.2
Off campus (not with family),,"3,804","3,804",#,,"3,932","3,964",0.8,,"3,917","3,858",-1.5
Off campus (with family),,"3,985","3,940",-1.1,,"3,928","3,988",1.5,,"3,832","3,604",-5.9
Private nonprofit,,,,,,,,,,,,
On campus,,"2,829","2,850",0.7,,"3,490","3,465",-0.7,,‡,‡,‡
Off campus (not with family),,"3,510","3,528",0.5,,"4,473","4,495",0.5,,"2,126","4,255",100.2
Off campus (with family),,"3,741","3,735",-0.2,,"4,545","4,335",-4.6,,"3,316","3,582",8
Private for-profit,,,,,,,,,,,,
On campus,,"4,029","4,111",2,,"2,804","3,452",23.1,,‡,‡,‡
Off campus (not with family),,"4,377","4,278",-2.3,,"4,933","4,900",-0.7,,"4,846","4,827",-0.4
Off campus (with family),,"5,034","3,991",-20.7,,"4,411","4,344",-1.5,,"3,660","3,644",-0.4
# Rounds to zero.,,,,,,,,,,,,
"‡ Reporting standards not met. No institutions met the criteria to be included in this cell.
",,,,,,,,,,,,
"1 For public institutions, “in district” refers to the charges paid by a student who lives in the locality surrounding the institution, such as county.",,,,,,,,,,,,
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public. However, the U.S. service academies are not included in this table. Amounts are institutional averages as reported by the institution, not average amounts paid by students (i.e., charges are not weighted by enrollment). The time points displayed in this table were chosen to demonstrate the range of data available from IPEDS for trend analysis, not to emphasize any particular period of change. Out-of-state average tuition and required fees were used for private institutions that reported varying tuitions by residency. These figures may differ from the tuition and required fee charges in table 6 that apply to all full-time undergraduates. The average components of academic year cost of attendance in this table may not sum to the corresponding average cost of attendance in table 9 because not all institutions report all components of academic year cost of attendance separately (e.g., an institution may report a comprehensive fee in lieu of the individual components). The 2,380 institutions with academic calendars that differ by program or allow continuous enrollment are not included. All amounts from 2014–15 were converted to 2016–17 dollars using the average Consumer Price Index values for the 12-month periods ending in October 2014 and October 2016. Definitions for terms used in this table may be found in the IPEDS online glossary located at https://surveys.nces.ed.gov/ipeds/VisGlossaryAll.aspx.
",,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Fall 2016, Institutional Characteristics component (final data).",,,,,,,,,,,,
