National Center for Education Statistics,,,,,,,,,,,,
"Average costs (in constant 2019 dollars) associated with attendance for full-time, first-time degree/certificate-seeking undergraduates at Title IV institutions operating on an academic year calendar system, and percentage change, by level of institution, type of cost, control of institution, residency, and student housing: United States, academic years 2017–18 and 2019–20",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Type of cost, control of institution, 
residency, and student housing",,4-year,,,,2-year,,,,Less-than-2-year,,
,,2017–18,2019–20,"Percent 
change",,2017–18,2019–20,"Percent 
change",,2017–18,2019–20,"Percent 
change"
,,,,,,,,,,,,
Tuition and required fees,,,,,,,,,,,,
Public,,,,,,,,,,,,
In-district1 ,,"8,552","8,566",0.2,,"3,752","3,776",0.6,,"8,201","8,920",8.8
In-state,,"8,604","8,620",0.2,,"4,418","4,444",0.6,,"8,201","8,920",8.8
Out-of-state,,"19,152","19,034",-0.6,,"8,538","8,516",-0.3,,"9,471","10,146",7.1
Private nonprofit,,"29,094","29,371",1,,"15,190","15,397",1.4,,"16,300","16,842",3.3
Private for-profit,,"17,640","17,114",-3,,"15,374","15,244",-0.8,,"19,509","19,073",-2.2
,,,,,,,,,,,,
Books and supplies,,,,,,,,,,,,
Public,,"1,345","1,298",-3.5,,"1,517","1,486",-2,,"1,212","1,310",8
Private nonprofit,,"1,220","1,177",-3.5,,"1,401","1,267",-9.6,,"2,102","2,022",-3.8
Private for-profit,,"1,332","1,194",-10.4,,"1,525","1,503",-1.5,,"1,270","1,141",-10.2
,,,,,,,,,,,,
Room and board,,,,,,,,,,,,
Public,,,,,,,,,,,,
On campus,,"10,512","10,614",1,,"7,017","7,076",0.8,,"6,295","6,280",-0.2
Off campus (not with family),,"10,267","10,441",1.7,,"8,781","8,946",1.9,,"9,023","8,581",-4.9
Private nonprofit,,,,,,,,,,,,
On campus,,"10,748","10,893",1.3,,"9,282","9,421",1.5,,Ø,Ø,Ø
Off campus (not with family),,"10,350","10,443",0.9,,"10,270","10,442",1.7,,"7,204","5,993",-16.8
Private for-profit,,,,,,,,,,,,
On campus,,"11,113","11,823",6.4,,"10,187","11,607",13.9,,"8,271","7,930",-4.1
Off campus (not with family),,"9,648","9,669",0.2,,"9,212","9,380",1.8,,"10,045","10,108",0.6
,,,,,,,,,,,,
Other expenses2 ,,,,,,,,,,,,
Public,,,,,,,,,,,,
On campus,,"3,513","3,446",-1.9,,"3,487","3,567",2.3,,"1,304","1,200",-8
Off campus (not with family),,"4,016","3,970",-1.1,,"4,203","4,316",2.7,,"4,608","4,676",1.5
Off campus (with family),,"4,170","4,082",-2.1,,"4,234","4,260",0.6,,"4,218","4,135",-2
Private nonprofit,,,,,,,,,,,,
On campus,,"3,008","2,958",-1.7,,"3,578","3,579",#,,Ø,Ø,Ø
Off campus (not with family),,"3,701","3,713",0.3,,"5,030","4,986",-0.9,,"3,630","2,215",-39
Off campus (with family),,"3,998","3,881",-2.9,,"5,018","4,815",-4,,"3,032","1,818",-40.1
Private for-profit,,,,,,,,,,,,
On campus,,"3,829","4,019",4.9,,"3,674","2,835",-22.8,,"1,304","1,500",15.1
Off campus (not with family),,"4,786","4,744",-0.9,,"5,411","5,561",2.8,,"5,329","5,705",7.1
Off campus (with family),,"4,507","4,475",-0.7,,"4,595","4,521",-1.6,,"4,336","4,262",-1.7
# Rounds to zero.,,,,,,,,,,,,
"Ø No institutions met the criteria to be included in this cell.
",,,,,,,,,,,,
"1For public institutions, “in-district” refers to the charges paid by a student who lives in the locality surrounding the institution, such as county.
",,,,,,,,,,,,
"2“Other expenses” refers to the amount of money needed by a student to cover expenses such as laundry, transportation, and entertainment.",,,,,,,,,,,,
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public. However, the U.S. service academies are not included in this table. Amounts are institutional averages as reported by the institution, not average amounts paid by students (i.e., charges are not weighted by enrollment). Percentage change was computed using unrounded average costs. The time points displayed in this table were chosen to demonstrate the range of data available from IPEDS for trend analysis, not to emphasize any particular period of change. Out-of-state average tuition and required fees were used for private institutions that reported varying tuitions by residency. Institutions with academic calendars that differ by program or allow continuous enrollment are not included in this table. All amounts from 2017–18 were converted to 2019 dollars using the average Consumer Price Index values for the 12-month periods ending in December 2017 and December 2019. Data from both time points in this table are from the same source. Definitions for terms used in this table may be found in the IPEDS online glossary located at https://surveys.nces.ed.gov/ipeds/VisGlossaryAll.aspx.",,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Fall 2019, Institutional Characteristics component (provisional data).",,,,,,,,,,,,
