National Center for Education Statistics,,,,,,,,,,,,,,
Table 3.,"Average costs associated with attendance for full-time, first-time degree/certificate-seeking undergraduates at Title IV institutions operating on an academic year calendar system, and percentage change, by level of institution, type of cost, control of institution, residency, and student housing: United States, academic years 2018–19 and 2020–21
[In constant 2020 dollars]",,,,,,,,,,,,,
"Type of cost, control of institution, 
residency, and student housing",,4-year,,,,2-year,,,,Less-than-2-year,,,,
,,2018–19,2020–21,"Percent 
change",,2018–19,2020–21,"Percent 
change",,2018–19,2020–21,"Percent 
change",,
,,,,,,,,,,,,,,
Tuition and required fees,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
In-district1,,"$8,398","$8,423",0.3,,"$3,835","$3,872",1.0,,"$8,161","$8,683",6.4,,
In-state,,"8,462","8,487",0.3,,"4,511","4,540",0.6,,"8,161","8,683",6.4,,
Out-of-state,,"18,946","18,809",-0.7,,"8,661","8,668",0.1,,"9,886","10,316",4.3,,
Private nonprofit,,"29,569","30,065",1.7,,"15,573","15,758",1.2,,"14,930","13,127",-12.1,,
Private for-profit,,"17,635","17,418",-1.2,,"15,447","15,381",-0.4,,"18,811","19,777",5.1,,
,,,,,,,,,,,,,,
Books and supplies,,,,,,,,,,,,,,
Public,,"1,321","1,248",-5.5,,"1,523","1,439",-5.5,,"1,218","1,317",8.2,,
Private nonprofit,,"1,206","1,146",-4.9,,"1,364","1,267",-7.1,,"1,681","1,687",0.3,,
Private for-profit,,"1,275","1,162",-8.8,,"1,477","1,473",-0.3,,"1,056","1,074",1.7,,
,,,,,,,,,,,,,,
Room and board,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
On campus,,"10,598","10,766",1.6,,"7,145","7,217",1.0,,"6,345","6,404",0.9,,
Off campus (not with family),,"10,350","10,612",2.5,,"8,932","9,322",4.4,,"9,638","9,103",-5.5,,
Private nonprofit,,,,,,,,,,,,,,
On campus,,"10,903","11,113",1.9,,"9,017","9,164",1.6,,Ø,Ø,Ø,,
Off campus (not with family),,"10,531","10,774",2.3,,"10,183","10,274",0.9,,"8,222","8,266",0.5,,
Private for-profit,,,,,,,,,,,,,,
On campus,,"11,681","11,392",-2.5,,"9,424","10,191",8.1,,"8,173","8,030",-1.8,,
Off campus (not with family),,"9,774","9,859",0.9,,"9,380","9,533",1.6,,"10,377","9,727",-6.3,,
,,,,,,,,,,,,,,
Other expenses2,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
On campus,,"3,446","3,501",1.6,,"3,540","3,603",1.8,,"1,237","1,200",-3.0,,
Off campus (not with family),,"3,983","4,080",2.4,,"4,273","4,396",2.9,,"4,498","4,828",7.4,,
Off campus (with family),,"4,140","4,161",0.5,,"4,282","4,321",0.9,,"4,319","4,342",0.6,,
Private nonprofit,,,,,,,,,,,,,,
On campus,,"2,994","2,986",-0.3,,"3,404","3,543",4.1,,Ø,Ø,Ø,,
Off campus (not with family),,"3,682","3,715",0.9,,"4,919","5,000",1.7,,"4,181","4,011",-4.1,,
Off campus (with family),,"3,930","3,918",-0.3,,"4,872","4,756",-2.4,,"3,341","3,413",2.1,,
Private for-profit,,,,,,,,,,,,,,
On campus,,"3,902","3,923",0.5,,"2,752","2,903",5.5,,"1,288","1,500",16.4,,
Off campus (not with family),,"4,972","5,246",5.5,,"5,362","5,459",1.8,,"5,045","5,460",8.2,,
Off campus (with family),,"4,608","4,916",6.7,,"4,413","4,519",2.4,,"3,638","3,876",6.5,,
"Ø No institutions met the criteria to be included in this cell.
",,,,,,,,,,,,,,
"1For public institutions, “in-district” refers to the charges paid by a student who lives in the locality surrounding the institution, such as a county.
",,,,,,,,,,,,,,
"2“Other expenses” refers to the amount of money needed by a student to cover expenses such as laundry, transportation, and entertainment.",,,,,,,,,,,,,,
