ID Year,Year,State Tuition,University,ID University,Slug University
2019,2019,11430,Doctoral Universities,DOC,doctoral-universities
2019,2019,11442,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity
2019,2019,55440,Georgetown University,131496,georgetown-university
2019,2019,53070,Emory University,139658,emory-university
2019,2019,10258,Georgia Institute of Technology-Main Campus,139755,georgia-institute-of-technology-main-campus
2019,2019,55046,University of Notre Dame,152080,university-of-notre-dame
2019,2019,52420,Northeastern University,167358,northeastern-university
2019,2019,50450,Case Western Reserve University,201645,case-western-reserve-university
2018,2018,11442,Doctoral Universities,DOC,doctoral-universities
2018,2018,11442,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity
2018,2018,53520,Georgetown University,131496,georgetown-university
2018,2018,50590,Emory University,139658,emory-university
2018,2018,10008,Georgia Institute of Technology-Main Campus,139755,georgia-institute-of-technology-main-campus
2018,2018,52884,University of Notre Dame,152080,university-of-notre-dame
2018,2018,50450,Northeastern University,167358,northeastern-university
2018,2018,48604,Case Western Reserve University,201645,case-western-reserve-university
2017,2017,11502,Doctoral Universities,DOC,doctoral-universities
2017,2017,11502,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity
2017,2017,51720,Georgetown University,131496,georgetown-university
2017,2017,48690,Emory University,139658,emory-university
2017,2017,10008,Georgia Institute of Technology-Main Campus,139755,georgia-institute-of-technology-main-campus
2017,2017,50988,University of Notre Dame,152080,university-of-notre-dame
2017,2017,48560,Northeastern University,167358,northeastern-university
2017,2017,47074,Case Western Reserve University,201645,case-western-reserve-university
2016,2016,11128,Doctoral Universities,DOC,doctoral-universities
2016,2016,11192,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity
2016,2016,49968,Georgetown University,131496,georgetown-university
2016,2016,47300,Emory University,139658,emory-university
2016,2016,9812,Georgia Institute of Technology-Main Campus,139755,georgia-institute-of-technology-main-campus
2016,2016,49178,University of Notre Dame,152080,university-of-notre-dame
2016,2016,46720,Northeastern University,167358,northeastern-university
2016,2016,45592,Case Western Reserve University,201645,case-western-reserve-university
2015,2015,10542,Doctoral Universities,DOC,doctoral-universities
2015,2015,10864,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity
2015,2015,48048,Georgetown University,131496,georgetown-university
2015,2015,45700,Emory University,139658,emory-university
2015,2015,9812,Georgia Institute of Technology-Main Campus,139755,georgia-institute-of-technology-main-campus
2015,2015,47422,University of Notre Dame,152080,university-of-notre-dame
2015,2015,44620,Northeastern University,167358,northeastern-university
2015,2015,44156,Case Western Reserve University,201645,case-western-reserve-university
2014,2014,10236.5,Doctoral Universities,DOC,doctoral-universities
2014,2014,10758,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity
2014,2014,46200,Georgetown University,131496,georgetown-university
2014,2014,44400,Emory University,139658,emory-university
2014,2014,9002,Georgia Institute of Technology-Main Campus,139755,georgia-institute-of-technology-main-campus
2014,2014,45730,University of Notre Dame,152080,university-of-notre-dame
2014,2014,42534,Northeastern University,167358,northeastern-university
2014,2014,42766,Case Western Reserve University,201645,case-western-reserve-university
2013,2013,9816,Doctoral Universities,DOC,doctoral-universities
2013,2013,10416,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity
2013,2013,44280,Georgetown University,131496,georgetown-university
2013,2013,43400,Emory University,139658,emory-university
2013,2013,8258,Georgia Institute of Technology-Main Campus,139755,georgia-institute-of-technology-main-campus
2013,2013,44098,University of Notre Dame,152080,university-of-notre-dame
2013,2013,40780,Northeastern University,167358,northeastern-university
2013,2013,41420,Case Western Reserve University,201645,case-western-reserve-university
